name,unit,npm,npm_detail,dev,com,io,sh,app,github,score,lane_url
cooperage,Stave,FREE,,free,taken,unknown,unknown,free,UNKNOWN,6,https://www.google.com/search?q=cooperage+developer+platform+cli
distaff,Fiber,FREE,,free,taken,unknown,unknown,free,UNKNOWN,6,https://www.google.com/search?q=distaff+developer+platform+cli
druse,Facet,FREE,,free,taken,unknown,unknown,free,UNKNOWN,6,https://www.google.com/search?q=druse+developer+platform+cli
icefall,Shard,FREE,,free,taken,unknown,unknown,taken,UNKNOWN,5,https://www.google.com/search?q=icefall+developer+platform+cli
klyon,Quark,FREE,,free,taken,unknown,unknown,taken,UNKNOWN,5,https://www.google.com/search?q=klyon+developer+platform+cli
maron,Meson,FREE,,free,taken,unknown,unknown,taken,UNKNOWN,5,https://www.google.com/search?q=maron+developer+platform+cli
marquetry,Veneer,FREE,,free,taken,unknown,unknown,taken,UNKNOWN,5,https://www.google.com/search?q=marquetry+developer+platform+cli
annals,Record,FREE,,taken,taken,unknown,unknown,free,UNKNOWN,4,https://www.google.com/search?q=annals+developer+platform+cli
archive,Folio,DEAD-SQUAT,"v0.0.2, 4.0y idle",free,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=archive+developer+platform+cli
clave,Key,FREE,,taken,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=clave+developer+platform+cli
coop,Hen,DEAD-SQUAT,"v0.4.0, 4.0y idle",free,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=coop+developer+platform+cli
escapement,Cog,FREE,,taken,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=escapement+developer+platform+cli
flask,Vial,DEAD-SQUAT,"v0.2.10, 4.0y idle",free,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=flask+developer+platform+cli
furrow,Sprout,FREE,,taken,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=furrow+developer+platform+cli
klyn,Clip,FREE,,taken,taken,unknown,unknown,taken,UNKNOWN,3,https://www.google.com/search?q=klyn+developer+platform+cli
